id,Modelo,Kilometraje,Año,Precio,Ubicación de Distribuidor,Oferta de Distribuidor
232289104,Jetta,125635.547,2016,17998,CarMax Manchester,Now Offering Curbside Pickup
230419192,Jetta,29399.648,2017,22998,CarMax Glencoe (Edens Expy),Now Offering Curbside Pickup
232489416,Beetle,82923.033,2013,20998,CarMax El Paso,Now Offering Curbside Pickup
232848639,Passat,55410.742,2018,21998,CarMax Newark,Now Offering Curbside Pickup
232850566,Jetta,10392.530999999999,2021,25998,CarMax Turnersville,Now Offering Curbside Pickup
232778839,Tiguan,91762.879,2018,20998,CarMax Sanford,Now Offering Curbside Pickup And Home Delivery
232106560,Jetta,112341.989,2019,19998,CarMax Gulf Freeway,Now Offering Curbside Pickup And Home Delivery
232028696,Arteon,11444.817,2021,44998,CarMax St. Louis Mid Rivers Mall,Now Offering Curbside Pickup
232652409,Tiguan,49549.155,2019,27998,CarMax Jacksonville,Now Offering Curbside Pickup And Home Delivery
232849477,Jetta,25948.343,2019,19998,CarMax Colorado Springs,Now Offering Curbside Pickup And Home Delivery
232027118,Jetta,45534.7,2019,25998,CarMax Gaithersburg,Now Offering Curbside Pickup
231960124,Golf,7227.628,2020,25998,CarMax Fort Bend,Now Offering Curbside Pickup And Home Delivery
230450210,Tiguan,25615.28,2017,21998,CarMax Miami Lakes,Now Offering Curbside Pickup And Home Delivery
230651920,Jetta,66599.728,2019,22998,CarMax West Sahara,Now Offering Curbside Pickup And Home Delivery
232670338,Atlas,80781.454,2018,35998,CarMax Fremont,Now Open
232644027,Atlas Cross Sport,31336.884,2020,37998,CarMax Independence Boulevard,Now Offering Curbside Pickup And Home Delivery
230904851,Passat,83201.39,2017,17998,CarMax Ft. Lauderdale,Now Offering Curbside Pickup And Home Delivery
231345193,Atlas,19768.174,2020,44998,CarMax Frederick,Now Offering Curbside Pickup
232349277,Tiguan,47579.739,2018,32998,CarMax Gastonia,Now Offering Curbside Pickup And Home Delivery
232776052,Tiguan,104420.882,2014,19998,CarMax Murrieta,Now Offering Curbside Pickup And Home Delivery
232289104,Jetta,125635.547,2016,17998,CarMax Manchester,Now Offering Curbside Pickup
230419192,Jetta,29399.648,2017,22998,CarMax Glencoe (Edens Expy),Now Offering Curbside Pickup
232489416,Beetle,82923.033,2013,20998,CarMax El Paso,Now Offering Curbside Pickup
232848639,Passat,55410.742,2018,21998,CarMax Newark,Now Offering Curbside Pickup
232850566,Jetta,10392.530999999999,2021,25998,CarMax Turnersville,Now Offering Curbside Pickup
